time_step [s] = stop-time [s] = time [s]	separation [m]	mean speed [m/s]
1.320000e-12	4.165450e-10	2.863508e+02
1.330000e-12	4.166625e-10	2.860970e+02
1.340000e-12	4.168606e-10	2.858494e+02
1.350000e-12	4.171153e-10	2.854833e+02
1.360000e-12	4.173117e-10	2.848770e+02
1.370000e-12	4.173524e-10	2.841444e+02
1.380000e-12	4.175417e-10	2.832774e+02
1.390000e-12	4.175590e-10	2.823831e+02
1.400000e-12	4.175271e-10	2.814292e+02
1.410000e-12	4.175997e-10	2.804212e+02
1.420000e-12	4.176930e-10	2.792901e+02
1.430000e-12	4.176360e-10	2.780849e+02
1.440000e-12	4.176561e-10	2.768473e+02
1.450000e-12	4.176787e-10	2.756438e+02
1.460000e-12	4.177084e-10	2.745411e+02
1.470000e-12	4.177128e-10	2.735709e+02
1.480000e-12	4.177590e-10	2.726163e+02
1.490000e-12	4.176856e-10	2.716993e+02
1.500000e-12	4.175812e-10	2.708763e+02
1.510000e-12	4.176230e-10	2.701512e+02
1.520000e-12	4.175674e-10	2.696025e+02
1.530000e-12	4.174874e-10	2.691572e+02
1.540000e-12	4.175375e-10	2.687646e+02
1.550000e-12	4.176302e-10	2.684191e+02
1.560000e-12	4.175465e-10	2.680358e+02
1.570000e-12	4.177317e-10	2.675532e+02
1.580000e-12	4.178394e-10	2.669992e+02
1.590000e-12	4.179668e-10	2.663572e+02
1.600000e-12	4.181205e-10	2.657055e+02
1.610000e-12	4.180710e-10	2.650515e+02
1.620000e-12	4.181124e-10	2.646851e+02
1.630000e-12	4.178842e-10	2.647683e+02
1.640000e-12	4.176398e-10	2.645860e+02
1.650000e-12	4.173410e-10	2.650753e+02
1.660000e-12	4.171482e-10	2.649360e+02
1.670000e-12	4.171145e-10	2.648012e+02
1.680000e-12	4.171842e-10	2.646268e+02
1.690000e-12	4.172983e-10	2.644205e+02
1.700000e-12	4.172039e-10	2.643905e+02
1.710000e-12	4.172574e-10	2.642356e+02
1.720000e-12	4.173283e-10	2.640884e+02
1.730000e-12	4.174823e-10	2.639388e+02
1.740000e-12	4.176616e-10	2.637407e+02
1.750000e-12	4.177282e-10	2.634167e+02
1.760000e-12	4.178334e-10	2.630064e+02
1.770000e-12	4.179836e-10	2.626351e+02
1.780000e-12	4.182505e-10	2.623385e+02
1.790000e-12	4.183401e-10	2.620924e+02
1.800000e-12	4.184489e-10	2.618853e+02
1.810000e-12	4.185963e-10	2.617366e+02
1.820000e-12	4.186325e-10	2.618918e+02
1.830000e-12	4.183206e-10	2.623741e+02
1.840000e-12	4.183634e-10	2.624295e+02
